"","GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display.Value","Numeric","Low","High","Comments"
"140","WHS9_86","PUBLISHED",2016,"AMR","PRY","6725",6725,NA,NA,NA
"141","WHS9_86","PUBLISHED",2016,"AMR","PER","31 774",31774,NA,NA,NA
"142","WHS9_86","PUBLISHED",2016,"WPR","PHL","103 320",103320,NA,NA,NA
"143","WHS9_86","PUBLISHED",2016,"EUR","POL","38 224",38224,NA,NA,NA
"144","WHS9_86","PUBLISHED",2016,"EUR","PRT","10 372",10372,NA,NA,NA
"145","WHS9_86","PUBLISHED",2016,"EMR","QAT","2570",2570,NA,NA,NA
"146","WHS9_86","PUBLISHED",2016,"WPR","KOR","50 792",50792,NA,NA,NA
"147","WHS9_86","PUBLISHED",2016,"EUR","MDA","4060",4060,NA,NA,NA
"148","WHS9_86","PUBLISHED",2016,"EUR","ROU","19 778",19778,NA,NA,NA
"149","WHS9_86","PUBLISHED",2016,"EUR","RUS","143 965",143965,NA,NA,NA
"150","WHS9_86","PUBLISHED",2016,"AFR","RWA","11 918",11918,NA,NA,NA
"151","WHS9_86","PUBLISHED",2016,"AMR","KNA","55",55,NA,NA,NA
"152","WHS9_86","PUBLISHED",2016,"AMR","LCA","178",178,NA,NA,NA
"153","WHS9_86","PUBLISHED",2016,"AMR","VCT","110",110,NA,NA,NA
"154","WHS9_86","PUBLISHED",2016,"WPR","WSM","195",195,NA,NA,NA
"155","WHS9_86","PUBLISHED",2016,"EUR","SMR","33",33,NA,NA,NA
"156","WHS9_86","PUBLISHED",2016,"AFR","STP","200",200,NA,NA,NA
"157","WHS9_86","PUBLISHED",2016,"EMR","SAU","32 276",32276,NA,NA,NA
"158","WHS9_86","PUBLISHED",2016,"AFR","SEN","15 412",15412,NA,NA,NA
"159","WHS9_86","PUBLISHED",2016,"EUR","SRB","8820",8820,NA,NA,NA
"160","WHS9_86","PUBLISHED",2016,"AFR","SYC","94",94,NA,NA,NA
"161","WHS9_86","PUBLISHED",2016,"AFR","SLE","7396",7396,NA,NA,NA
"162","WHS9_86","PUBLISHED",2016,"WPR","SGP","5622",5622,NA,NA,NA
"163","WHS9_86","PUBLISHED",2016,"EUR","SVK","5444",5444,NA,NA,NA
"164","WHS9_86","PUBLISHED",2016,"EUR","SVN","2078",2078,NA,NA,NA
"165","WHS9_86","PUBLISHED",2016,"WPR","SLB","599",599,NA,NA,NA
"166","WHS9_86","PUBLISHED",2016,"EMR","SOM","14 318",14318,NA,NA,NA
"167","WHS9_86","PUBLISHED",2016,"AFR","ZAF","56 015",56015,NA,NA,NA
"168","WHS9_86","PUBLISHED",2016,"AFR","SSD","12 231",12231,NA,NA,NA
"169","WHS9_86","PUBLISHED",2016,"EUR","ESP","46 348",46348,NA,NA,NA
"170","WHS9_86","PUBLISHED",2016,"SEAR","LKA","20 798",20798,NA,NA,NA
"171","WHS9_86","PUBLISHED",2016,"EMR","SDN","39 579",39579,NA,NA,NA
"172","WHS9_86","PUBLISHED",2016,"AMR","SUR","558",558,NA,NA,NA
"173","WHS9_86","PUBLISHED",2016,"AFR","SWZ","1343",1343,NA,NA,NA
"174","WHS9_86","PUBLISHED",2016,"EUR","SWE","9838",9838,NA,NA,NA
"175","WHS9_86","PUBLISHED",2016,"EUR","CHE","8402",8402,NA,NA,NA
"176","WHS9_86","PUBLISHED",2016,"EMR","SYR","18 430",18430,NA,NA,NA
"177","WHS9_86","PUBLISHED",2016,"EUR","TJK","8735",8735,NA,NA,NA
"178","WHS9_86","PUBLISHED",2016,"SEAR","THA","68 864",68864,NA,NA,NA
"179","WHS9_86","PUBLISHED",2016,"EUR","MKD","2081",2081,NA,NA,NA
"180","WHS9_86","PUBLISHED",2016,"SEAR","TLS","1269",1269,NA,NA,NA
"181","WHS9_86","PUBLISHED",2016,"AFR","TGO","7606",7606,NA,NA,NA
"182","WHS9_86","PUBLISHED",2016,"WPR","TON","107",107,NA,NA,NA
"183","WHS9_86","PUBLISHED",2016,"AMR","TTO","1365",1365,NA,NA,NA
"184","WHS9_86","PUBLISHED",2016,"EMR","TUN","11 403",11403,NA,NA,NA
"185","WHS9_86","PUBLISHED",2016,"EUR","TUR","79 512",79512,NA,NA,NA
"186","WHS9_86","PUBLISHED",2016,"EUR","TKM","5663",5663,NA,NA,NA
"187","WHS9_86","PUBLISHED",2016,"WPR","TUV","11",11,NA,NA,NA
"188","WHS9_86","PUBLISHED",2016,"AFR","UGA","41 488",41488,NA,NA,NA
"189","WHS9_86","PUBLISHED",2016,"EUR","UKR","44 439",44439,NA,NA,NA
"190","WHS9_86","PUBLISHED",2016,"EMR","ARE","9270",9270,NA,NA,NA
"191","WHS9_86","PUBLISHED",2016,"EUR","GBR","65 789",65789,NA,NA,NA
"192","WHS9_86","PUBLISHED",2016,"AFR","TZA","55 572",55572,NA,NA,NA
"193","WHS9_86","PUBLISHED",2016,"AMR","USA","322 180",322180,NA,NA,NA
"194","WHS9_86","PUBLISHED",2016,"AMR","URY","3444",3444,NA,NA,NA
"195","WHS9_86","PUBLISHED",2016,"EUR","UZB","31 447",31447,NA,NA,NA
"196","WHS9_86","PUBLISHED",2016,"WPR","VUT","270",270,NA,NA,NA
"197","WHS9_86","PUBLISHED",2016,"AMR","VEN","31 568",31568,NA,NA,NA
"198","WHS9_86","PUBLISHED",2016,"WPR","VNM","94 569",94569,NA,NA,NA
"199","WHS9_86","PUBLISHED",2016,"EMR","YEM","27 584",27584,NA,NA,NA
"200","WHS9_86","PUBLISHED",2016,"AFR","ZMB","16 591",16591,NA,NA,NA
"201","WHS9_86","PUBLISHED",2016,"AFR","ZWE","16 150",16150,NA,NA,NA
"202","WHS9_86","PUBLISHED",2016,"AFR","","1 019 922",1019922,NA,NA,NA
"203","WHS9_86","PUBLISHED",2016,"AMR","","992 155",992155,NA,NA,NA
"204","WHS9_86","PUBLISHED",2016,"EMR","","664 336",664336,NA,NA,NA
"205","WHS9_86","PUBLISHED",2016,"EUR","","916 315",916315,NA,NA,NA
"206","WHS9_86","PUBLISHED",2016,"SEAR","","1 947 632",1947632,NA,NA,NA
"207","WHS9_86","PUBLISHED",2016,"WPR","","1 889 901",1889901,NA,NA,NA
"208","WHS9_86","PUBLISHED",2016,"GLOBAL","","7 430 261",7430261,NA,NA,NA
