rok;region;kraj;plec;nadwaga
1995;EUR;AND;MLE;18.8
1994;EUR;AND;BTSX;20.7
1994;EUR;AND;FMLE;22.8
1994;EUR;AND;MLE;18.4
1993;EUR;AND;BTSX;20.4
1993;EUR;AND;FMLE;22.6
1993;EUR;AND;MLE;18.0
1992;EUR;AND;BTSX;20.2
1992;EUR;AND;FMLE;22.5
1992;EUR;AND;MLE;17.7
1991;EUR;AND;BTSX;19.9
1991;EUR;AND;FMLE;22.3
1991;EUR;AND;MLE;17.3
1990;EUR;AND;BTSX;19.6
1990;EUR;AND;FMLE;22.1
1990;EUR;AND;MLE;16.9
1989;EUR;AND;BTSX;19.3
1989;EUR;AND;FMLE;21.8
1989;EUR;AND;MLE;16.5
1988;EUR;AND;BTSX;19.0
1988;EUR;AND;FMLE;21.6
1988;EUR;AND;MLE;16.1
1987;EUR;AND;BTSX;18.6
1987;EUR;AND;FMLE;21.3
1987;EUR;AND;MLE;15.7
1986;EUR;AND;BTSX;18.2
1986;EUR;AND;FMLE;21.0
1986;EUR;AND;MLE;15.2
1985;EUR;AND;BTSX;17.8
1985;EUR;AND;FMLE;20.6
1985;EUR;AND;MLE;14.7
1984;EUR;AND;BTSX;17.4
1984;EUR;AND;FMLE;20.2
1984;EUR;AND;MLE;14.3
1983;EUR;AND;BTSX;16.9
1983;EUR;AND;FMLE;19.8
1983;EUR;AND;MLE;13.8
1982;EUR;AND;BTSX;16.5
1982;EUR;AND;FMLE;19.4
1982;EUR;AND;MLE;13.3
1981;EUR;AND;BTSX;16.0
1981;EUR;AND;FMLE;18.9
1981;EUR;AND;MLE;12.8
1980;EUR;AND;BTSX;15.5
1980;EUR;AND;FMLE;18.5
1980;EUR;AND;MLE;12.3
1979;EUR;AND;BTSX;15.0
1979;EUR;AND;FMLE;18.0
1979;EUR;AND;MLE;11.8
1978;EUR;AND;BTSX;14.5
1978;EUR;AND;FMLE;17.5
1978;EUR;AND;MLE;11.2
1977;EUR;AND;BTSX;14.0
1977;EUR;AND;FMLE;16.9
1977;EUR;AND;MLE;10.7
1976;EUR;AND;BTSX;13.5
1976;EUR;AND;FMLE;16.4
1976;EUR;AND;MLE;10.2
1975;EUR;AND;BTSX;12.9
1975;EUR;AND;FMLE;15.8
1975;EUR;AND;MLE;9.7
2016;EMR;ARE;BTSX;31.7
2016;EMR;ARE;FMLE;41.0
2016;EMR;ARE;MLE;27.5
2015;EMR;ARE;BTSX;31.0
2015;EMR;ARE;FMLE;40.5
2015;EMR;ARE;MLE;26.8
2014;EMR;ARE;BTSX;30.3
2014;EMR;ARE;FMLE;40.0
2014;EMR;ARE;MLE;26.1
2013;EMR;ARE;BTSX;29.7
2013;EMR;ARE;FMLE;39.5
2013;EMR;ARE;MLE;25.4
2012;EMR;ARE;BTSX;29.0
2012;EMR;ARE;FMLE;38.9
2012;EMR;ARE;MLE;24.8
2011;EMR;ARE;BTSX;28.3
2011;EMR;ARE;FMLE;38.4
2011;EMR;ARE;MLE;24.1
2010;EMR;ARE;BTSX;27.7
2010;EMR;ARE;FMLE;37.9
2010;EMR;ARE;MLE;23.5
2009;EMR;ARE;BTSX;27.0
2009;EMR;ARE;FMLE;37.3
2009;EMR;ARE;MLE;22.8
2008;EMR;ARE;BTSX;26.3
2008;EMR;ARE;FMLE;36.8
2008;EMR;ARE;MLE;22.2
2007;EMR;ARE;BTSX;25.7
2007;EMR;ARE;FMLE;36.3
2007;EMR;ARE;MLE;21.6
2006;EMR;ARE;BTSX;25.0
2006;EMR;ARE;FMLE;35.7
2006;EMR;ARE;MLE;21.0
2005;EMR;ARE;BTSX;24.5
2005;EMR;ARE;FMLE;35.2
2005;EMR;ARE;MLE;20.4
2004;EMR;ARE;BTSX;23.9
2004;EMR;ARE;FMLE;34.7
2004;EMR;ARE;MLE;19.8
2003;EMR;ARE;BTSX;23.4
2003;EMR;ARE;FMLE;34.2
2003;EMR;ARE;MLE;19.2
2002;EMR;ARE;BTSX;22.8
2002;EMR;ARE;FMLE;33.7
2002;EMR;ARE;MLE;18.7
2001;EMR;ARE;BTSX;22.3
2001;EMR;ARE;FMLE;33.2
2001;EMR;ARE;MLE;18.2
2000;EMR;ARE;BTSX;21.8
2000;EMR;ARE;FMLE;32.7
2000;EMR;ARE;MLE;17.7
1999;EMR;ARE;BTSX;21.3
1999;EMR;ARE;FMLE;32.2
1999;EMR;ARE;MLE;17.2
1998;EMR;ARE;BTSX;20.9
1998;EMR;ARE;FMLE;31.8
1998;EMR;ARE;MLE;16.7
1997;EMR;ARE;BTSX;20.5
1997;EMR;ARE;FMLE;31.3
1997;EMR;ARE;MLE;16.3
1996;EMR;ARE;BTSX;20.1
1996;EMR;ARE;FMLE;30.9
1996;EMR;ARE;MLE;15.9
1995;EMR;ARE;BTSX;19.8
1995;EMR;ARE;FMLE;30.6
1995;EMR;ARE;MLE;15.5
1994;EMR;ARE;BTSX;19.5
